#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IBI (RÚSTEGA),235000,0,235000,204110.82
11300,IBI (URBANA),3100000,0,3100000,3387614.99
11400,IMPOST SOBRE BÉNS IMMOBLES DE CARACTERÍSTIQUES ESPECIALS,50000,0,50000,49963.21
11500,IMPOST VEHICLES DE TRACCIO MECANICA,570000,0,570000,579866.68
11600,IMPOST INCREMENT VALORS TERRENYS URBANS,600000,0,600000,500050.86
13000,ACTIVITATS EMPRESSARIALS,1150000,0,1150000,1091676.81
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",90000,0,90000,57567.74
30000,TAXA PER SUBMINISTRAMENT D'AIGUA POTABLE,438000,0,438000,303036.03
30001,TAXA PER MANTENIMENTS DE COMPTADORS,114000,0,114000,97548.58
30002,ESCOMESESD'AIGUA,8500,0,8500,5677.86
30003,TAXA CLAVEGUERAM,92000,0,92000,67617.34
30004,CÀNON AIGUA,325000,0,325000,234999.25
30200,TAXA SERVEI RECOLLIDA ESCOMBRARIES,679000,0,679000,655988.66
30900,TAXA SERVEI CEMENTIRI MUNICIPAL,28000,0,28000,35219.87
30902,TAXA LLICENCIES OBERTURA ESTABLIMENTS,60000,0,60000,120753.61
30912,TAXA PER ALTRES SERVEIS,1000,0,1000,0
31100,TAXA PER ACTIVITATS SERVEIS SOCIALS,1500,0,1500,0
31200,TAXA PER SERVEI ESCOLA DE MUSICA,55000,0,55000,47417.47
31201,TAXA PER ESCOLA D'ADULTS,7500,0,7500,3230.84
31300,TAXA PER CURSETS NATACIÓ,4000,0,4000,2675.4
31301,TAXA SERVEI PISCINA,80000,0,80000,75950.87
31302,TAXA PER ESCOLA ESPORTIVA,9000,0,9000,8873.5
31303,TAXA PER INSTAL.LACIONS ESPORTIVES,600,0,600,0
31304,TAXA PER ACTIVITATS PAVELLÓ,15000,0,15000,11807.42
31900,TAXA PER SERVEIS CULTURA,45000,0,45000,26857.45
31901,TAXA SERVEI JOVENTUT,47000,0,47000,47798.3
31902,TAXA UTILITZACIÓ EDIFICIS MUNICIPALS,1000,0,1000,1878.48
31903,TAXA UTILITZACIÓ ESPAIS G2M,8400,0,8400,3368.85
32100,TAXA EXPEDICIÓ  LLICENCIES URBANISTIQUES,50000,0,50000,24458.34
32500,TAXA EXPEDICIO DOCUM. ADMINISTRATIUS,5000,0,5000,5150.89
32600,TAXA RETIRADA DE VEHICLES,10000,0,10000,9144.48
32900,TAXA LLICENCIA TAXIS,600,0,600,1577.6
32901,TAXA SERVEIS SALUT PÚBLICA,500,0,500,0
33100,TAXA GUALS I RESERVA VIA PUBLICA,133000,0,133000,134646.84
33200,TAXA APROFITAMENTS  SUBMINISTRE ELÈCTRIC I GAS,150000,0,150000,129244.27
33300,TAXA APROFITAMENTS SERVEIS TELECOMUNICACIONS,6000,0,6000,1293.24
33500,TAXA OCUPACIÓ AMB TAULES I CADIRES,40900,0,40900,39995.09
33600,TAXA OCUPACIÓ TERRENYS MATERIALS CONSTRUCCIÓ,6500,0,6500,2963.8
33800,TAXA APROFITAMENTS SUBMINISTRE TELÈFON,35000,0,35000,17728.63
33900,TAXA QUIOSCOS,1000,0,1000,200
33901,"TAXA OCUPACIÓ TERRENYS PARADES, ETC.",5000,0,5000,45014.32
33902,TAXA MERCAT SETMANAL,41000,0,41000,39167.92
33903,INGRESSOS PER ACTIVITATS CIRCUIT CATALUNYA,84000,0,84000,115679.88
33904,TAXA PER OCUPACIÓ ANTENES DE TELEFONIA,51000,0,51000,14231.7
33905,TAXA PER OCUPACIÓ AMB CARTELLS I PALS PUBLICITARIS,32000,0,32000,40000
34000,INGRESSOS CASAL DE LA GENT GRAN,8500,0,8500,7952.49
34200,DINAR EN COMPANYIA,38000,0,38000,24794.2
34210,ÀPATS A DOMICILI,17000,0,17000,0
34300,ALTRES INGRESSOS D'ESPORTS,5000,0,5000,0
34900,ALTRES INGRESSOS CULTURA,25000,0,25000,22247.86
34901,ALTRES INGRESSOS JOVENTUT,2700,0,2700,2515.25
34902,ALTRES INGRESSOS ACTIVITATS CIRCUIT,85000,0,85000,61632.7
34903,ALTRES INGRESSOS CULTURA (SALA POLIVALENT),10000,0,10000,3551
35000,CONTRIBUCIONS ESPECIALS,127500,0,127500,0
38900,REINTEGRAMENTS DE PRESSUPOSTOS TANCATS,1000,0,1000,715.23
39100,SANCIONS URBANISTIQUES,10000,0,10000,0
39120,MULTES,200000,0,200000,90490.57
39190,ALTRES SANCIONS,30000,0,30000,20490.54
39211,RECARRECS CONSTRENYIMENT,55000,0,55000,55887.18
39300,INTERESSOS DEMORA,22000,0,22000,19595.14
39800,INGRESSOS PER SINISTRES,3000,0,3000,11130.39
39900,ALTRES INGRESSOS DIVERSOS,16000,0,16000,16275.02
42000,PARTICIPACIO TRIBUTS ESTAT,1925000,0,1925000,1482324.73
44000,TRANSFERÈNCIA AMTU,12000,-12000,0,0
45000,APORTACIÓ FONS CATALÀ,124000,0,124000,0
45001,SUBVENCIÓ GENERALITAT. JUTJAT DE PAU,4650,0,4650,0
45002,SUBVENCIÓ GENERALITAT CENTRE DE DISCAPACITATS,250000,0,250000,165662.08
45070,PUOSC MANTENIMENT 2014,50000,0,50000,285.13
45080,ALTRES SUBVENCIONS GENERALITAT,25500,0,25500,11685.37
45090,APORTACIÓ CENTRE DE RECURSOS PEDAGÒGICS,26500,0,26500,0
46100,DE DIPUTACIÓ SERVEIS SOCIALS I SANITAT,77700,0,77700,29887.07
46101,DE DIPUTACIÓ ESPORTS,12000,0,12000,9750
46102,DE DIPUTACIÓ CULTURA I JOVENTUT,20000,4000,24000,22961.33
46103,DE DIPUTACIÓ ENSENYAMENT,70000,0,70000,20034
46104,DE DIPUTACIÓ MEDI AMBIENT I TURISME,4000,7000,11000,11373.28
46105,ALTRES SUBVENCIONS DIPUTACIÓ,15000,15000,30000,73231.18
46106,DE DIPUTACIÓ OCUPACIÓ LOCAL,132000,0,132000,39555.15
46107,DE DIPUTACIÓ. SALUT PÚBLICA,18000,0,18000,1000
46108,SUBVENCIONS DIPUTACIÓ DINAMITZACIÓ COMERCIAL,7600,6000,13600,16600
46109,"DE DIPUTACIÓ, POLÍTIQUES D'IGUALTAT",12000,0,12000,6172
46110,"DE DIPUTACIÓ, CONSUM",11500,15000,26500,26690
46200,CONVENI AJUNTAMENT DE MONTORNÉS CAN TACÓ,24000,0,24000,0
46202,RETORN RECOLLIDA CRVO,35500,0,35500,20778.32
46500,DEL CONSELL COMARCAL SERVEIS SOCIALS,111000,0,111000,7.17
46501,DEL CONSELL COMARCAL BEQUES,35000,0,35000,33659.8
46502,DEL CONSELL COMARCAL SAD DEPENDÈNCIA,35000,0,35000,0
46503,SUBVENCIONS CONSELL COMARCAL TURISME,100,0,100,0
46504,ALTRES TRANSFERENCIES CONSELL COMARCAL,1000,0,1000,5180
46505,"DEL CONSELL COMARCAL,  CENTRE OBERT",22000,0,22000,0
46600,CÀNON RESIDUS. AGÈNCIA DE RESIDUS DE CATALUNYA,28000,0,28000,0
46700,TRANSFERENCIES CONSORCI DE RESIDUS,0,185654.54,185654.54,0
47000,TRANSFERENCIES D'EMPRESES PRIVADES,15000,0,15000,4600
47001,APORTACIO CIRCUIT DE CATALUNYA,100,0,100,0
48000,TRANS.DE FAMÍLIES I INST. SENSE FI DE LUCRE,100,12000,12100,0
52000,INTERESES EN CUENTAS CORRIENTES,100,0,100,2.93
55000,LLOGUERS APARCAMENTS,1000,0,1000,290.4
55001,CONCESSIO POMPES FUNEBRES,6650,0,6650,0
