#Área,Política,Grupo,Programa,Descripción
#
# Áreas de gasto y Políticas, modificadas por la Orden HAP/419/2014 y comunes a todas las EELL.
# Ver la orden en http://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-2922 y el
# texto refundido en http://boe.es/buscar/act.php?id=BOE-A-2008-19916
0,,,,Deuda pública
0,1,,,Deuda pública
1,,,,Servicios públicos básicos
1,3,,,Seguridad y movilidad ciudadana
1,5,,,Vivienda y urbanismo
1,6,,,Bienestar comunitario
1,7,,,Medio ambiente
2,,,,Actuaciones de protección y promoción social
2,1,,,Pensiones
2,2,,,Otras prestaciones económicas a favor de empleados
2,3,,,Servicios sociales y promoción social
2,4,,,Fomento del empleo
3,,,,Producción de bienes públicos de carácter preferente
3,1,,,Sanidad
3,2,,,Educación
3,3,,,Cultura
3,4,,,Deporte
4,,,,Actuaciones de carácter económico
4,1,,,"Agricultura, ganadería y pesca"
4,2,,,Industria y energía
4,3,,,"Comercio, turismo y pequeñas y medianas empresas"
4,4,,,Transporte público
4,5,,,Infraestructuras
4,6,,,"Investigación, desarrollo e innovación"
4,9,,,Otras actuaciones de carácter económico
9,,,,Actuaciones de carácter general
9,1,,,Órganos de gobierno
9,2,,,Servicios de carácter general
9,3,,,Administración financiera y tributaria
9,4,,,Transferencias a otras administraciones públicas
1,5,2,1,Promoción y gestión de vivienda de protección pública
1,5,2,2,Conservación y rehabilitación de la edificación
1,5,3,1,Acceso a los núcleos de población
1,5,3,2,Pavimentación de vías públicas
1,6,2,1,Recogida de residuos
1,6,2,2,Gestión de residuos sólidos urbanos
1,6,2,3,Tratamiento de residuos
1,7,2,1,"Protección contra la contaminación acústica, lumínica y atmosférica en las zonas urbanas"
3,3,2,1,Bibliotecas públicas
3,3,2,2,Archivos
4,3,1,1,Ferias
4,3,1,2,"Mercados, abastos y lonjas"
4,3,1,3,Comercio ambulante
4,4,1,1,Transporte colectivo urbano de viajeros
4,4,1,2,Otro transporte de viajeros
9,2,3,1,Gestión del padrón municipal de habitantes
#
# Programas antiguos desdoblados por la Orden HAP/419/2014
#
3,2,A,0,Enseñanza preescolar y primaria
3,2,B,0,Enseñanza secundaria
3,2,C,0,Promoción educativa
4,4,A,0,"Promoción, mantenimiento y desarrollo del transporte"
#
# Programas específicos de Montmeló
#
