#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IBI (RÚSTEGA),200000.0,0.0,200000.0,192644.8
11300,IBI (URBANA),2750000.0,0.0,2750000.0,2794420.51
11400,IMPOST SOBRE BÉNS IMMOBLES DE CARACTERÍSTIQUES ESPECIALS,0.0,0.0,0.0,2498.17
11500,IMPOST VEHICLES DE TRACCIO MECANICA,575000.0,0.0,575000.0,570634.59
11600,IMPOST INCREMENT VALORS TERRENYS URBANS,300000.0,0.0,300000.0,1143655.71
13000,ACTIVITATS EMPRESSARIALS,1100000.0,0.0,1100000.0,1164653.23
29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",50000.0,0.0,50000.0,74527.36
30000,TAXA PER SUBMINISTRAMENT D'AIGUA POTABLE,420000.0,0.0,420000.0,358580.76
30001,TAXA PER MANTENIMENTS DE COMPTADORS,55000.0,0.0,55000.0,57957.33
30002,ESCOMESESD'AIGUA,3500.0,0.0,3500.0,3171.62
30003,TAXA CLAVEGUERAM,100000.0,0.0,100000.0,87067.38
30004,CÀNON AIGUA,320000.0,0.0,320000.0,312784.82
30200,TAXA SERVEI RECOLLIDA ESCOMBRARIES,660000.0,0.0,660000.0,647383.76
30900,TAXA SERVEI CEMENTIRI MUNICIPAL,40000.0,0.0,40000.0,33745.86
30901,TAXA ESCUT I PLAQUES,100.0,0.0,100.0,0.0
30902,TAXA LLICENCIES OBERTURA ESTABLIMENTS,50000.0,0.0,50000.0,41416.29
30912,TAXA PER ALTRES SERVEIS,3000.0,0.0,3000.0,205.0
31100,TAXA PER ACTIVITATS SERVEIS SOCIALS,15000.0,0.0,15000.0,0.0
31200,TAXA PER SERVEI ESCOLA DE MUSICA,90000.0,0.0,90000.0,74490.49
31201,TAXA PER ESCOLA D'ADULTS,9000.0,0.0,9000.0,9448.55
31300,TAXA PER CURSETS NATACIÓ,3500.0,0.0,3500.0,3653.22
31301,TAXA SERVEI PISCINA,65000.0,0.0,65000.0,73981.39
31302,TAXA PER ESCOLA ESPORTIVA,25000.0,0.0,25000.0,15386.83
31303,TAXA PER INSTAL.LACIONS ESPORTIVES,1000.0,0.0,1000.0,381.16
31304,TAXA PER ACTIVITATS PAVELLÓ,25000.0,0.0,25000.0,18243.9
31900,TAXA PER SERVEIS CULTURA,50000.0,0.0,50000.0,60029.76
31901,TAXA SERVEI JOVENTUT,5000.0,0.0,5000.0,0.0
31902,TAXA UTILITZACIÓ EDIFICIS MUNICIPALS,0.0,0.0,0.0,4147.85
32100,TAXA EXPEDICIÓ  LLICENCIES URBANISTIQUES,40000.0,0.0,40000.0,54486.93
32500,TAXA EXPEDICIO DOCUM. ADMINISTRATIUS,6000.0,0.0,6000.0,6088.57
32600,TAXA RETIRADA DE VEHICLES,9000.0,0.0,9000.0,5957.24
32900,TAXA LLICENCIA TAXIS,600.0,0.0,600.0,1578.6
32901,TAXA SERVEIS SALUT PÚBLICA,600.0,0.0,600.0,1153.54
